capacity,city,facility_address1,facility_address2,facility_name,gps,latitude,longitude,owner_addr,owner_addr2,owner_city,owner_if_private,owner_phone,owner_state,owner_zip,phone_number,security,serialid,state,type,zip
,Columbiana,102 Industrial Parkway,P.O. Box 1970,ATEF,,,,35 Fairfield Place,,West Caldwell,"Community Education Centers, Inc. (CEC)",(973) 226-2900,NJ,07006,(205) 669-1187,,16,Alabama,Contract Facility,35051
,Uniontown,4805 Hwy 80 East,,Perry County Detention Facility,,,,100-D William O. Stutes Str.,,Lafayette,"LCS Corrections Service, Inc.",(337) 234-1533,LA,70506,(334) 628-8885,,17,Alabama,Contract Facility,36786
,Phoenix,3402 West Cocopah,,ASP - Phoenix West,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(602) 352-0350,,54,Arizona,Contract Facility,85009
,Marana,12610 W. Silverbell Rd,,Marana CCTF,,,,500 N. Market Place Drive,P.O. Box 10,Centerville,Management and Training Corporation,(801) 693-2600,Utah,84014,(520) 682-2077,,55,Arizona,Contract Facility,85653
,Florence,1401 East Diversion Dam Road,,Central ArizonaCorrectional Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(520) 868-4809,,58,Arizona,Contract Facility,85132
"1,500",Eloy,1705 East Hanna Road,,Eloy Detention Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(520) 466-4141,medium,59,Arizona,Contract Facility,85131
"1,824",Florence,1100 Bowling Road,,Florence Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(520) 868-9095,multi-level,60,Arizona,Contract Facility,85132
"2,304",Florence,1155 North Pinal Parkway,,Central Arizona Detention Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(520) 868-3668,multi-level,61,Arizona,Contract Facility,85132
"3,060",Eloy,5501 North La Palma Road,,La Palma Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(520) 464-3200,medium,62,Arizona,Contract Facility,85131
"1,900",Eloy,1250 East Arica Road,,Saguaro Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(520) 464-0500,medium,63,Arizona,Contract Facility,85131
"1,596",Eloy,1750 East Arica Road,,Red Rock Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(520) 464-3800,medium,64,Arizona,Contract Facility,85131
"1,232",San Diego,446 Alta Rd,,San Diego Correctional Facility,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(619) 661-9119,minimum to medium,119,California,Contract Facility,92158
,San Diego,2727 Boston Avenue,,CAI - Boston Avenue,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(619) 232-1066,,120,California,Contract Facility,92113
,San Diego,551 South 35th Street,,CAI - Ocean View,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(619) 232-8600,,122,California,Contract Facility,92113
,McFarland,611 Frontage Road,,Golden State Medium Community Correctional Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(661) 792-2731,,123,California,Contract Facility,93250
,McFarland,254 Taylor Avenue,,Central Valley MCCF,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(661) 792-2033,,124,California,Contract Facility,93250
,Adelanto,10400 Rancho Road,PO Box 6005,Adelanto Detention Facility East & West,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(760) 561-6100,,125,California,Contract Facility,92301
,Adelanto,10450 Rancho Rd,,Desert View MCCF,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(760) 246-1171,,126,California,Contract Facility,92301
"2,355",Taft,1500 Cadet Rd.,,Taft Correctional Institution,,,,500 N. Market Place Drive,P.O. Box 10,Centerville,Management and Training Corporation,(801) 693-2600,Utah,84014,(661) 763-2510,minimum,127,California,Contract Facility,93268
784,San Diego,220 West C Street,,Western Region Detention Facility at San Diego,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(619) 232-9221,maximum,128,California,Contract Facility,92101
,Colorado Springs,2925 E. Las Vegas Street,,CMRC - Cheyenne Mountain Re-entry Center,,,,35 Fairfield Place,,West Caldwell,"Community Education Centers, Inc. (CEC)",(973) 226-2900,NJ,07006,(719) 390-0125,,152,Colorado,Contract Facility,80906
752,Walsenburg,304 Ray Sandoval Street,,Huerfano County Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(719) 738-3246,medium,153,Colorado,Contract Facility,81089
,Burlington,49777 County Road V,,KCCC - Kit Carson Correctional Center,"39 18.200', -102 14.647'",39.3033333,-102.2441167,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(719) 346-9450,,154,Colorado,Contract Facility,80807
,Aurora,3130 North Oakland Street,,Aurora Detention Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(303) 361-6612,,155,Colorado,Contract Facility,80010
,Quincy,6044 Greensboro Highway,,Gadsden Correctional Facility (Female),,,,500 N. Market Place Drive,P.O. Box 10,Centerville,Management and Training Corporation,(801) 693-2600,Utah,84014,(850) 875-9701,,186,Florida,Contract Facility,32351-9100
,Graceville,5168 Ezell Rd.,,Graceville Correctional Facility (Male),,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(850) 263-5500,,187,Florida,Contract Facility,32440
760,Lecanto,2604 W. Woodland Ridge Drive,,Citrus County Detention Facility,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(352) 527-3332,multi-level,188,Florida,Contract Facility,34461
,Lake City,7906 East Highway 90,,Lake City Correctional Facility (Male Youth),,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(386) 755-3379,,207,Florida,Contract Facility,32055-6290
,Moore Haven,1282 Florida 78,,Moore Haven Correctional Facility (Male),,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(863) 946-2420,,229,Florida,Contract Facility,33471
,South Bay,"600 U.S. Highway 27, South",,South Bay Correctional Facility (Male),,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(561) 992-9505,,232,Florida,Contract Facility,33493-2233
"1,528",Nicholls,1153 North Liberty Street,P.O. Box 650,Coffee Correctional Facility,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(912) 345-5058 ext.25405,medium,336,Georgia,Contract Facility,31554
,Millen,34404 Kent Farm Drive,P.O. Box 948,Jenkins Facility,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(478) 982-6300,,337,Georgia,Contract Facility,30442
"1,691",McRae,1000 Jim Hammock Drive,,McRae Correctional Facility,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(229) 868-7778,medium,338,Georgia,Contract Facility,31055
,Folkston,3423 Highway 252,PO Box 2005,D. Ray James Detention Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(912) 496-6905,,339,Georgia,Contract Facility,31537
,Folkston,3423 Highway 252,,D. Ray James Correctional Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(912) 496-6242,,340,Georgia,Contract Facility,31537
489,Gainesville,622 Main Street,,North Georgia Detention Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(770) 533-7500,,341,Georgia,Contract Facility,30501
576,Lovejoy,11866 Hastings Bridge Road,PO Box 429,Robert A. Deyton Detention Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(770) 305-8000,multiple,342,Georgia,Contract Facility,30250
,Milledgeville,196 Laying Farm Road,,Riverbend Correctional Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(478)414-2300,,343,Georgia,Contract Facility,31061
"1,524",Alamo,195 North Broad Street,P.O. Box 466,Wheeler Correctional Facility,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(912) 568-1731,medium,345,Georgia,Contract Facility,30411
,Plainfield,501 W. Main Street,,Plainfield Short Term Offender Program (STOP),,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(317) 839-7751,,438,Indiana,Contract Facility,46168
"2,416",New Castle,1000 Van Nuys Road,P.O. Box E,New Castle Correctional Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(765) 593-0111,minimum to medium,441,Indiana,Contract Facility,47362
"1,030",Indianapolis,730 E. Washington Street,,Marion County Jail II,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(317) 266-0882,multi-level,442,Indiana,Contract Facility,46202
656,Wheelwright,Correctional Rd,P.O. Box 500,Otter Creek Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,,minimum to medium,487,Kentucky,Contract Facility,41669
"1,538",Kinder,3751 Lauderdale Woodyard Road,,Allen Correctional Center,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(337) 639-2943,medium to maximum,488,Louisiana,Contract Facility,70648
,Grayson,701 Highway 845,,Caldwell Parish Detention Center,,,,100-D William O. Stutes Str.,,Lafayette,"LCS Corrections Service, Inc.",(337) 234-1533,LA,70506,(318) 649-2100,,490,Louisiana,Contract Facility,71435
,Newellton,500 Routh Street,,J.B. Evans Correctional Center,,,,100-D William O. Stutes Str.,,Lafayette,"LCS Corrections Service, Inc.",(337) 234-1533,LA,70506,(318) 467-3355,,499,Louisiana,Contract Facility,71357
690,Pine Prairie,1133 Hampton Dupre Road,,Pine Prairie Correctional Center,,,,100-D William O. Stutes Str.,,Lafayette,"LCS Corrections Service, Inc.",(337) 234-1533,LA,70506,(337) 599-2198,medium,500,Louisiana,Contract Facility,70576
964,Basile,3843 Stagg Avenue,,South Louisiana Correctional Center,,,,100-D William O. Stutes Str.,,Lafayette,"LCS Corrections Service, Inc.",(337) 234-1533,LA,70506,(337) 432-5493,medium,501,Louisiana,Contract Facility,70515
,Jena,830 Pinehill Road,,LaSalle Detention Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(318) 992-7800,,503,Louisiana,Contract Facility,71342
"1,538",Atlanta,180 CCA Blvd.,,Winn Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(318) 628-3971,medium to mazimum,504,Louisiana,Contract Facility,71483
,Appleton,445 South Munsterman Street,,Prairie Correctional Facility - CLOSED,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,,,610,Minnesota,Contract Facility,56208
"2,232",Natchez,20 Hobo Fork Road,,Adams County Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(601) 304-2500,,611,Mississippi,Contract Facility,39120
,Meridian,10641 Highway 80 East,,East Mississippi Correctional Facility,,,,500 N. Market Place Drive,P.O. Box 10,Centerville,Management and Training Corporation,(801) 693-2600,Utah,84014,(601) 485-5255,,630,Mississippi,Contract Facility,39307
"1,000",Holly Springs,833 West Street,,Marshall County Correctional Facility,,,,500 N. Market Place Drive,P.O. Box 10,Centerville,Management and Training Corporation,(801) 693-2600,Utah,84014,(662) 252-7111,medium,631,Mississippi,Contract Facility,38634
,Woodville,2999 US Highway 61 North,,Wilkinson County Correctional Center,,,,500 N. Market Place Drive,P.O. Box 10,Centerville,Management and Training Corporation,(801) 693-2600,Utah,84014,(601) 888-3199,,633,Mississippi,Contract Facility,39669
,Walnut Grove,1650 Mississippi 492,,Walnut Grove Correctional Facility,,,,500 N. Market Place Drive,P.O. Box 10,Centerville,Management and Training Corporation,(801) 693-2600,Utah,84014,(601) 253-2348,,634,Mississippi,Contract Facility,39189
,Pahrump,2190 East Mesquite Avenue,,Nevada Southern Detention Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(775) 751-4500,,680,Nevada,Contract Facility,89060
300,Elizabeth,625 Evans Street,,Elizabeth Detention Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(908) 352-3776,minimum,703,New Jersey,Contract Facility,07201
,Milan,2000 Cibola Loop,,Cibola County Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(505) 285-4900,,715,New Mexico,Contract Facility,87021
596,Grants,1700 East Old Highway 66,P.O. Box 800,New Mexico Women's Correctional Facility,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(505) 287-2941,multi-level,717,New Mexico,Contract Facility,87020
"1,355",Chaparral,10 McGregor Range Road,,Otero County Prison Facility,,,,500 N. Market Place Drive,P.O. Box 10,Centerville,Management and Training Corporation,(801) 693-2600,Utah,84014,(575) 824.4884,multi,722,New Mexico,Contract Facility,88081
,Jamaica,182-22 150th Avenue,,Queens Detention Facility,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(718) 553-5420,,765,New York,Contract Facility,11413
"1,359",Winton,145 Parker's Fishery Road,PO Box 840,Rivers Correctional Institution,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(252) 358-5200,minimum,831,North Carolina,Contract Facility,27986
,Youngstown,1507 Market Street,,CBCF - Mahoning CCA,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(330) 744-5143,,859,Ohio,Contract Facility,44507
"1,498",Conneaut,501 Thompson Road,,Lake Erie Correctional Institution,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(440) 599-4100,minimum to medium,861,Ohio,Contract Facility,44030-8668
,Marion,670 Marion-Williamsport Road,,North Central Correctional Complex,,,,500 N. Market Place Drive,P.O. Box 10,Centerville,Management and Training Corporation,(801) 693-2600,Utah,84014,(740) 387-7040,,862,Ohio,Contract Facility,43302
"1,032",Cushing,3200 S. Kings Highway,,Cimarron Correctional Facility,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(918) 225-3336,medium,891,Oklahoma,Contract Facility,74023
